Date et heure,Adresse MAC,Emplacement,Temperature
2025-09-29 11:30:24,b8:27:eb:a2:f4:62,Poste 4,55.5
2025-09-29 11:30:26,b8:27:eb:a2:f4:62,Poste 4,55.8
2025-09-29 11:30:28,b8:27:eb:a2:f4:62,Poste 4,55.5
2025-09-29 11:30:30,b8:27:eb:a2:f4:62,Poste 4,55.5
2025-09-29 11:30:32,b8:27:eb:a2:f4:62,Poste 4,55.5
2025-09-29 11:30:34,b8:27:eb:a2:f4:62,Poste 4,55.5
2025-09-29 11:30:36,b8:27:eb:a2:f4:62,Poste 4,55.5
2025-09-29 11:30:38,b8:27:eb:a2:f4:62,Poste 4,55.5
2025-09-29 11:30:40,b8:27:eb:a2:f4:62,Poste 4,55.5
2025-09-29 11:30:42,b8:27:eb:a2:f4:62,Poste 4,55.5
2025-09-29 11:30:44,b8:27:eb:a2:f4:62,Poste 4,55.5
2025-09-29 11:30:46,b8:27:eb:a2:f4:62,Poste 4,55.5
2025-09-29 11:30:48,b8:27:eb:a2:f4:62,Poste 4,55.5
2025-09-29 11:30:50,b8:27:eb:a2:f4:62,Poste 4,55.5
2025-09-29 11:30:52,b8:27:eb:a2:f4:62,Poste 4,55.5
2025-09-29 11:30:54,b8:27:eb:a2:f4:62,Poste 4,55.5
2025-09-29 11:30:56,b8:27:eb:a2:f4:62,Poste 4,55.5
2025-09-29 11:30:58,b8:27:eb:a2:f4:62,Poste 4,55.5
2025-09-29 11:31:00,b8:27:eb:a2:f4:62,Poste 4,55.5
2025-09-29 11:31:02,b8:27:eb:a2:f4:62,Poste 4,55.8
2025-09-29 11:31:04,b8:27:eb:a2:f4:62,Poste 4,55.8
2025-09-29 11:31:06,b8:27:eb:a2:f4:62,Poste 4,55.8
2025-09-29 11:31:08,b8:27:eb:a2:f4:62,Poste 4,55.8
2025-09-29 11:31:10,b8:27:eb:a2:f4:62,Poste 4,55.8
2025-09-29 11:31:12,b8:27:eb:a2:f4:62,Poste 4,55.8
2025-09-29 11:31:14,b8:27:eb:a2:f4:62,Poste 4,55.8
2025-09-29 11:31:17,b8:27:eb:a2:f4:62,Poste 4,55.8
2025-09-29 11:31:19,b8:27:eb:a2:f4:62,Poste 4,56.0
2025-09-29 11:31:21,b8:27:eb:a2:f4:62,Poste 4,56.0
2025-09-29 11:31:23,b8:27:eb:a2:f4:62,Poste 4,56.0
2025-09-29 11:31:25,b8:27:eb:a2:f4:62,Poste 4,56.0
2025-09-29 11:31:27,b8:27:eb:a2:f4:62,Poste 4,28.0
2025-09-29 11:31:29,b8:27:eb:a2:f4:62,Poste 4,56.0
2025-09-29 11:31:31,b8:27:eb:a2:f4:62,Poste 4,56.0
2025-09-29 11:31:33,b8:27:eb:a2:f4:62,Poste 4,56.0
2025-09-29 11:31:35,b8:27:eb:a2:f4:62,Poste 4,56.0
2025-09-29 11:31:37,b8:27:eb:a2:f4:62,Poste 4,56.0
2025-09-29 11:31:39,b8:27:eb:a2:f4:62,Poste 4,56.0
2025-09-29 11:31:41,b8:27:eb:a2:f4:62,Poste 4,56.0
2025-09-29 11:31:43,b8:27:eb:a2:f4:62,Poste 4,56.0
2025-09-29 11:31:45,b8:27:eb:a2:f4:62,Poste 4,56.2
2025-09-29 11:31:47,b8:27:eb:a2:f4:62,Poste 4,56.2
2025-09-29 11:31:49,b8:27:eb:a2:f4:62,Poste 4,56.2
2025-09-29 11:31:51,b8:27:eb:a2:f4:62,Poste 4,56.2
2025-09-29 11:31:53,b8:27:eb:a2:f4:62,Poste 4,56.2
2025-09-29 11:31:55,b8:27:eb:a2:f4:62,Poste 4,56.2
2025-09-29 11:31:57,b8:27:eb:a2:f4:62,Poste 4,56.2
